episode,question_id,total_reward,num_steps,num_llm_calls,final_status,verification_pass,citation_support,latency_seconds,token_usage,buffer_size,total_gradient_updates,critic_loss,actor_loss_retriever,actor_loss_rewriter,actor_loss_grader,actor_loss_generator,actor_loss_verifier,trained_so_far
173,Q005,0.6627,4,2,accepted,1,1.0,20.029,2179,887,206,0.007116,-0.338233,nan,-0.532732,-0.468817,-0.643396,True
174,Q030,0.6775,4,2,accepted,1,1.0,23.626,2151,891,207,0.010434,-0.436441,nan,-0.553957,-0.525804,-0.686359,True
175,Q063,0.6043,4,2,accepted,1,1.0,21.765,623,895,208,0.008831,-0.465855,nan,-0.504353,-0.525793,-0.751547,True
176,Q034,0.523,4,2,accepted,1,1.0,41.634,881,899,209,0.016418,-0.476802,nan,-0.468828,-0.502021,-0.743269,True
177,Q016,0.5533,4,2,accepted,1,1.0,17.48,492,903,210,0.004419,-0.427763,nan,-0.492014,-0.508932,-0.638785,True
178,Q003,0.3463,4,2,accepted,1,0.75,19.564,481,907,211,0.006334,-0.437982,nan,-0.411963,-0.482321,-0.611991,True
179,Q028,0.4229,4,2,accepted,1,1.0,18.535,2146,911,212,0.016963,-0.438835,nan,-0.433837,-0.475619,-0.634262,True
180,Q030,0.7129,4,2,accepted,1,1.0,21.913,2106,915,213,0.012283,-0.498925,nan,-0.50761,-0.563824,-0.65872,True
181,Q072,0.6318,4,2,accepted,1,1.0,19.677,401,919,214,0.005414,-0.53516,nan,-0.546135,-0.606041,-0.715561,True
182,Q050,0.4781,4,2,accepted,1,0.6667,24.27,441,923,215,0.020566,-0.493528,nan,-0.497023,-0.591791,-0.686505,True
183,Q057,0.5344,4,2,accepted,1,1.0,15.519,2685,927,216,0.009357,-0.429152,nan,-0.521084,-0.527894,-0.644729,True
184,Q029,0.6422,4,2,accepted,1,1.0,19.504,1485,931,217,0.004788,-0.344046,nan,-0.467846,-0.466521,-0.527617,True
185,Q037,0.3301,4,2,accepted,1,0.6667,22.674,2167,935,218,0.014144,-0.418977,nan,-0.493527,-0.459581,-0.560913,True
186,Q069,0.6156,4,2,accepted,1,1.0,19.662,2367,939,219,0.010145,-0.378903,nan,-0.507581,-0.500563,-0.572898,True
187,Q032,0.5689,4,2,accepted,1,1.0,20.229,424,943,220,0.009638,-0.487546,nan,-0.575843,-0.56068,-0.629923,True
188,Q037,0.3218,4,2,accepted,1,0.6667,22.741,2153,947,221,0.006875,-0.526719,nan,-0.630852,-0.566724,-0.671542,True
189,Q073,0.5928,4,2,accepted,1,0.8333,25.987,2843,951,222,0.013364,-0.472811,nan,-0.554139,-0.519027,-0.62249,True
190,Q087,0.6591,4,2,accepted,1,1.0,23.783,2535,955,223,0.009753,-0.352613,nan,-0.489648,-0.491094,-0.538019,True
191,Q036,0.5603,4,2,accepted,1,1.0,24.728,889,959,224,0.011417,-0.418163,nan,-0.453298,-0.432132,-0.493167,True
192,Q042,0.7348,4,2,accepted,1,1.0,28.675,2545,963,225,0.015225,-0.43574,nan,-0.459533,-0.454413,-0.519828,True
193,Q055,0.74,4,2,accepted,1,1.0,25.508,3025,967,226,0.006703,-0.473499,nan,-0.503844,-0.540463,-0.606004,True
194,Q005,0.6962,4,2,accepted,1,1.0,19.787,2163,971,227,0.004975,-0.505447,nan,-0.569358,-0.53267,-0.712542,True
195,Q011,0.7277,4,2,accepted,1,1.0,23.729,2812,975,228,0.008417,-0.46281,nan,-0.578809,-0.57464,-0.683154,True
196,Q040,0.4116,4,2,accepted,1,0.8,23.839,850,979,229,0.009808,-0.455626,nan,-0.491747,-0.539484,-0.644555,True
197,Q027,0.4493,4,2,accepted,1,1.0,22.303,567,983,230,0.008948,-0.399103,nan,-0.492582,-0.501256,-0.639321,True
