episode,question_id,total_reward,num_steps,num_llm_calls,final_status,verification_pass,citation_support,latency_seconds,token_usage,buffer_size,total_gradient_updates,critic_loss,actor_loss_retriever,actor_loss_rewriter,actor_loss_grader,actor_loss_generator,actor_loss_verifier,trained_so_far
96,Q072,0.7043,4,3,accepted,1,1.0,24.95,3075,405,171,0.002753,-0.616365,nan,-0.515802,-0.474748,-0.579928,True
97,Q040,0.4767,4,3,accepted,1,1.0,29.487,3201,409,173,0.001566,-0.568757,nan,-0.464166,-0.398383,-0.575497,True
98,Q064,0.3741,4,2,accepted,1,1.0,9.52,2091,413,175,0.006826,-0.591866,nan,-0.422159,-0.446885,-0.63257,True
99,Q011,0.4415,4,2,accepted,1,1.0,13.004,2608,417,177,0.004137,-0.600689,nan,-0.494115,-0.451834,-0.593989,True
100,Q069,0.5131,4,3,accepted,1,1.0,26.948,2680,421,179,0.006157,-0.583975,nan,-0.47653,-0.455671,-0.584338,True
101,Q033,0.4603,4,2,accepted,1,1.0,9.989,2274,425,181,0.003033,-0.595784,nan,-0.520973,-0.459454,-0.626112,True
102,Q046,0.6234,4,2,accepted,1,1.0,3.789,2037,429,183,0.004019,-0.581014,nan,-0.450772,-0.457502,-0.561435,True
103,Q004,0.4689,4,3,accepted,1,0.5,29.322,3271,433,185,0.005494,-0.590492,nan,-0.433022,-0.439825,-0.569265,True
104,Q005,0.5021,4,2,accepted,1,1.0,7.443,1660,437,187,0.007474,-0.632129,nan,-0.445689,-0.509843,-0.647768,True
105,Q047,0.3195,4,2,accepted,1,1.0,11.571,2761,441,189,0.004527,-0.628046,nan,-0.458775,-0.494068,-0.638041,True
106,Q002,0.2585,7,4,accepted,1,1.0,14.848,3855,448,193,0.003709,-0.616011,nan,-0.465938,-0.530561,-0.615519,True
107,Q014,0.4132,4,2,accepted,1,1.0,7.187,2466,452,195,0.007373,-0.627721,nan,-0.514637,-0.540807,-0.577746,True
108,Q066,0.3121,4,3,accepted,1,0.5,27.53,3314,456,197,0.003756,-0.597621,nan,-0.47754,-0.505743,-0.594819,True
109,Q048,0.4429,4,3,accepted,1,1.0,18.834,5954,460,199,0.005084,-0.595659,nan,-0.470052,-0.507493,-0.549246,True
110,Q055,0.6269,4,3,accepted,1,1.0,31.472,3601,464,201,0.00341,-0.645022,nan,-0.50211,-0.543471,-0.63695,True
111,Q002,0.4606,4,3,accepted,1,1.0,18.65,6030,468,203,0.007458,-0.564202,nan,-0.466978,-0.502048,-0.605712,True
112,Q086,0.3781,4,3,accepted,1,1.0,30.541,6791,472,205,0.006075,-0.532337,nan,-0.43492,-0.475494,-0.563902,True
113,Q038,0.532,4,3,accepted,1,1.0,19.484,4615,476,207,0.003687,-0.568803,nan,-0.521954,-0.555034,-0.638547,True
114,Q019,0.3809,4,3,accepted,1,1.0,39.58,5871,480,209,0.004237,-0.553636,nan,-0.506675,-0.522947,-0.613105,True
115,Q049,0.0437,10,7,accepted,1,1.0,39.107,6264,490,214,0.001962,-0.578859,nan,-0.488174,-0.548707,-0.594156,True
116,Q031,0.3302,4,3,accepted,1,1.0,23.438,5634,494,216,0.003059,-0.604849,nan,-0.484022,-0.527895,-0.592152,True
117,Q042,0.4095,4,3,accepted,1,0.75,33.885,3195,498,218,0.002203,-0.577231,nan,-0.484809,-0.515658,-0.623139,True
118,Q028,-0.7692,10,7,rejected,0,0.5,26.247,12969,508,223,0.001582,-0.5358,nan,-0.48525,-0.500695,-0.568832,True
